"Gene","Coefficient"
"CEL",0.0365704278319146
"FAM179A",-0.0446641081748616
"KLRB1",-0.00562781382564223
"MAP2K6",-0.0545175705795209
"PCMT1",0.0333861074732273
"PELO",0.00111397790853327
"PGK1",0.141762426307576
"SERPINA1",-0.011359392029316
